SID,2008-08-23,2008-08-25,2008-09-01,2008-09-08,2008-09-15,2008-09-22,2008-09-29,2008-10-06,2008-10-13,2008-10-20,2008-10-27,2008-11-03,2008-11-10,2008-11-17,2008-11-24,2008-12-01,2008-12-08,2008-12-15
03538412,0,2,2,4,4,5,5,5,5,6,7,7,7,8,8,8,8,8
03539387,0,1,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4
03539668,4,7,7,8,9,9,11,12,12,13,13,15,15,16,16,17,17,17
03540012,0,3,3,3,3,3,4,4,4,4,4,5,5,7,7,7,7,8
03540877,0,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
03541602,1,2,4,6,6,6,6,6,6,6,6,6,7,8,8,8,8,8
03541879,2,3,5,5,6,7,8,8,8,8,9,10,10,10,10,11,12,12
03543692,2,4,5,6,9,10,12,14,14,15,17,18,20,20,20,22,22,22
03546264,2,3,4,5,6,7,7,8,8,10,11,11,11,11,11,11,11,11
03546377,1,2,2,3,4,5,5,5,5,5,6,6,7,7,7,7,7,8
03551055,1,3,4,5,6,6,6,6,7,7,8,9,9,10,10,10,11,11
03552628,1,3,4,5,6,6,7,8,8,8,9,9,9,9,9,10,11,11
03553429,0,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4
03554978,2,3,4,5,7,8,9,11,11,12,14,14,16,16,16,17,18,19
03556934,2,3,4,5,5,5,6,6,7,7,7,7,8,8,8,8,8,8
03557306,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
03557659,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,3
03558220,0,1,2,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5
03558564,0,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5
03558817,1,3,4,4,5,5,5,6,7,7,8,8,9,9,9,10,10,10
03559016,1,3,3,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7
03559219,2,4,5,7,8,10,10,10,10,10,10,11,11,11,11,11,12,12
03559732,0,2,2,2,3,3,4,5,5,5,5,5,5,6,6,6,6,6
03560936,0,1,2,3,3,3,3,3,3,4,4,5,6,6,6,6,7,7
03561148,2,3,4,5,6,7,8,9,10,11,12,13,13,14,14,15,15,15
03561921,0,3,4,6,7,7,8,9,10,10,10,10,10,10,10,10,10,10
03562171,0,0,0,2,2,2,2,2,3,3,4,4,4,4,4,4,5,5
03563495,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
03565233,2,4,5,5,5,6,6,7,8,8,8,8,8,8,8,8,9,9
03565734,1,3,4,5,6,7,7,8,9,10,11,11,12,12,12,12,13,13
03565839,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03565882,0,3,3,4,4,4,5,5,6,6,6,6,6,6,6,7,7,7
03569256,2,5,5,6,7,7,7,8,9,9,10,10,11,11,11,11,11,11
03572104,0,2,2,3,4,5,6,7,8,8,8,8,8,8,8,8,9,9
03573595,2,3,3,4,6,8,8,10,11,12,13,15,16,17,17,19,19,19
03574948,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,5,6
03575720,2,4,5,7,7,7,8,9,9,9,10,11,12,13,13,14,14,14
03575928,0,6,6,8,10,11,12,15,16,16,17,18,19,20,20,21,21,21
